,_latitude,_longitude,number_of_operators,number_of_available_trolleys,_title,_server_updated_at,_created_by,_updated_by,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,departure_of_the_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
323,19.0190991,-98.262539,4,1,"81 Marte
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:30 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,08:35,SP29935,Sin registro,Sales & delivery,Pick-up,no,"Alcoholic beverages (beer, liquor, etc.),Bakery (bread, cookies, cakes, etc.),Meat (beef, poultry, pork, seafood, etc.),Non-alcoholic beverages (water, soda, etc.),Produce (fruits & vegetables)",17:14,Street - next to the curbside,no,no,Rear,no,no,no,no
324,19.0199367,-98.2611618,2,1,"563 Avenida Orión Sur
San Andrés Cholula Puebla 72825
México",2022-11-09 23:59:30 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,08:18,SK25778,Sin registro,Sales & delivery,Pick-up,no,"Alcoholic beverages (beer, liquor, etc.),Bakery (bread, cookies, cakes, etc.),Meat (beef, poultry, pork, seafood, etc.),Non-alcoholic beverages (water, soda, etc.),Produce (fruits & vegetables)",15:11,Street - next to the curbside,no,no,Rear,no,no,yes,no
325,19.0203189,-98.2610105,1,1,"543A Avenida Orión Sur
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:29 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,08:09,2894I,Sin registro,Sales & delivery,Motorcycle,no,"Bakery (bread, cookies, cakes, etc.),Produce (fruits & vegetables)",00:09,Street - next to the curbside,no,no,Rear,no,no,no,no
326,19.0271875,-98.255475,2,1,"543A Avenida Orión Sur
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:29 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,09:03,XB20969,Sin registro,Sales & delivery,Pick-up,no,"Bakery (bread, cookies, cakes, etc.),Meat (beef, poultry, pork, seafood, etc.),Non-alcoholic beverages (water, soda, etc.),Produce (fruits & vegetables)",02:04,Street - next to the curbside,no,no,Rear,no,no,yes,no
327,19.0283016,-98.2551571,2,1,"1017D Calle Mira
Tlaxcalancingo Puebla 72197
México",2022-11-09 23:59:28 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,09:00,622-WMX,Sin registro,Sales & delivery,Automobile,no,"Bakery (bread, cookies, cakes, etc.),Meat (beef, poultry, pork, seafood, etc.),Produce (fruits & vegetables)",01:01,Street - next to the curbside,no,no,Rear,no,no,no,no
328,19.0295166,-98.2564437,2,1,"3068 Calle Orión Norte
Tlaxcalancingo Puebla 72197
México",2022-11-09 23:59:26 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,10:55,HGK203A,Sin registro,Sales (usually small car or motorcycle),Automobile,no,"Bakery (bread, cookies, cakes, etc.),Non-alcoholic beverages (water, soda, etc.)",01:35,Street - next to the curbside,no,no,Rear,no,no,no,no
329,19.027931,-98.258336,1,1,"720 Calle Orión Norte
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:25 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,10:33,GJZ2J,Sin registro,Sales (usually small car or motorcycle),Motorcycle,no,"Meat (beef, poultry, pork, seafood, etc.),Produce (fruits & vegetables)",14:53,Street - next to the curbside,no,yes,Rear,no,no,no,no
330,19.0240386,-98.2614064,1,0,"966 Calle Orión Norte
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:25 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,10:48,GJK71A,Sin registro,Sales (usually small car or motorcycle),Motorcycle,no,"Meat (beef, poultry, pork, seafood, etc.)",14:48,Street - next to the curbside,no,no,Side,no,no,no,no
331,19.0239537,-98.2614156,1,0,"6 Avenida Orion Norte
Tlaxcalancingo Puebla 72197
México",2022-11-09 23:59:24 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,10:46,1H3YD,Sin registro,Sales (usually small car or motorcycle),Motorcycle,no,"Meat (beef, poultry, pork, seafood, etc.)",14:52,Street - next to the curbside,no,no,Side,no,no,no,no
332,19.0246879,-98.2610514,2,1,"11 Serafines
Tlaxcalancingo Puebla 72810
México",2022-11-09 23:59:24 UTC,Adriel Antonio Huerta Vidal,Adriel Antonio Huerta Vidal,09:10,SN-77-136,Sin registro,Delivery,Light truck or Van,no,"Bakery (bread, cookies, cakes, etc.),Meat (beef, poultry, pork, seafood, etc.)",14:30,Street - next to the curbside,no,no,Rear,no,no,no,no
