,_latitude,_longitude,number_of_operators,number_of_available_trolleys,_title,_server_updated_at,_created_by,_updated_by,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,departure_of_the_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
378,19.0726300372,-98.1659305166,1,0,"2404 Calle Cordillera de los Balcanes
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:51:26 UTC,Pedro Contreras,Pedro Contreras,10:44,TE-5804-G,La Costeña,Delivery,Light truck or Van,no,"Nonfood,Other",10:46,Street - next to the curbside,no,no,Side,no,no,no,no
379,19.073614697,-98.1653153945,1,1,"9053–9057 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:30:44 UTC,Eduardo Zárate,Eduardo Zárate,10:18,SN-29-117,Crunch-It,Delivery,Pick-up,no,"Bakery (bread, cookies, cakes, etc.)",10:19,Street - next to the curbside,no,no,Rear,no,no,no,no
380,19.0736508138,-98.1652930197,2,1,"9053–9057 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 16:30:44 UTC,Eduardo Zárate,Eduardo Zárate,10:16,23J-237,LaLa,Delivery,Light truck or Van,yes,"Dairy (milk, cheese, etc.)",10:27,Street - next to the curbside,no,no,Rear,no,no,no,no
381,19.071857551,-98.1667056879,1,0,"2404 Calle Cordillera Central
Puebla de Zaragoza PUE 72220
MX",2022-11-09 15:42:16 UTC,Eduardo Zárate,Eduardo Zárate,09:36,SN-17-510,Danone,Delivery,Light truck or Van,yes,"Dairy (milk, cheese, etc.)",09:46,Street - next to the curbside,no,no,Rear,no,no,no,no
382,19.0581423267,-98.2254263603,2,1,"84 Avenida Teziutlán Norte
Puebla de Zaragoza PUE 72160
MX",2022-11-07 22:41:09 UTC,Jorge Alberto Ostorga Flores,Jorge Alberto Ostorga Flores,15:15,SM46579,no,Delivery,Pick-up,no,Produce (fruits & vegetables),15:32,Street - next to the curbside,no,no,Rear,yes,no,no,no
383,19.0435135414,-98.2005907028,1,0,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:57 UTC,José Oropeza,José Oropeza,11:32,TTV-378-A,Sin registro,Delivery,Automobile,no,Produce (fruits & vegetables),11:35,Street - next to the curbside,no,no,Rear,no,no,no,no
384,19.0441463323,-98.1959056349,2,1,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:57 UTC,José Oropeza,José Oropeza,10:55,SP-38-651,Sin registro,Delivery,Light truck or Van,no,Junk food,11:15,Street - next to the curbside,no,no,Rear,no,no,no,no
385,19.043612116,-98.194933077,1,0,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:56 UTC,José Oropeza,José Oropeza,10:36,HL-3785-F,Sin registro,Delivery,Light truck or Van,no,"Bakery (bread, cookies, cakes, etc.)",11:00,Street - next to the curbside,no,no,Rear,no,no,no,no
386,19.0436070826,-98.1948560508,1,0,"6 Avenida 5 Poniente
Puebla PUE 72000
MX",2022-11-03 17:54:56 UTC,José Oropeza,José Oropeza,10:33,SP-29-798,Sin registro,Delivery,Light truck or Van,no,"Bakery (bread, cookies, cakes, etc.)",10:50,Street - next to the curbside,no,no,Side,no,no,no,no
387,19.043335537,-98.1945033093,1,1,"406-B Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:54:44 UTC,Emilio Garza,Emilio Garza,11:19,05-AP-6G,Infra,Delivery,Light truck or Van,no,Gas,11:21,Street - next to the curbside,no,no,Rear,no,no,no,no
388,19.0435760418,-98.1948728731,2,0,"402E Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:14:09 UTC,Emilio Garza,Emilio Garza,11:03,LE-88-707,Alpura ,Delivery,Pick-up,yes,"Dairy (milk, cheese, etc.)",11:04,Street - next to the curbside,no,no,Rear,no,no,no,no
389,19.043589516,-98.1949010531,2,1,"402 Avenida 2 Oriente
Puebla PUE 72000
MX",2022-11-03 17:14:09 UTC,Emilio Garza,Emilio Garza,11:00,HL-3785-F,Bimbo,Delivery,Pick-up,no,"Bakery (bread, cookies, cakes, etc.),Produce (fruits & vegetables)",11:08,Street - next to the curbside,yes,no,Rear,no,no,no,no
